url,scrape_time,uuid,title,company,location,job_content,employer,deadline,stillingstittel,oppstart,type_ansettelse,arbeidstid,arbeidsspråk,antall_stillinger,contact_person,stillingsnummer,hentet_fra,referanse
https://arbeidsplassen.nav.no/stillinger/stilling/aa5779c2-7a33-469c-bd1d-ea3d02fcfacd,2024-11-01 23:23:52,aa5779c2-7a33-469c-bd1d-ea3d02fcfacd,Engasjert butikkmedarbeider til bakeri på Moa,Valaker Bakeri Og Konditori As Avd Moa Syd,"Langelandsvegen 25, 6010 Ålesund, Hjemmekontor ikke mulig","Stillingsbeskrivelse
Vi søker etter flere engasjerte og motiverte butikkmedarbeidere i 60-80% stilling til våre butikker på AMFI Moa.
Hos oss står kunden alltid i fokus, og derfor er det viktig at du har viljen og evnen til å skape et fint miljø for kundene våre. Samtidig er det viktig at du er god til å samarbeide og kommunisere med andre, for hos oss jobber vi i team.
Vi ser etter sprudlende og serviceinnstilte personer som klarer å ha mange baller i luften samtidig. Du er energisk og du jobber like effektivt i et høyt tempo som i stille perioder.
Som butikkmedarbeider er det viktig at du er engasjert, at du er fleksibel, trives med ansvar og har stor arbeidskapasitet.
Det er viktig at du klarer å få disken til å se innbydende og delikat ut for våre kunder. Det er absolutt en fordel om du har erfaring fra lignende jobber fra før, men det er ikke nødvendig så lenge du har vilje og evne til å lære. Med et ekstra øye for detaljer liker du å ha det rent og ryddig rundt deg, og det er viktig at du bidrar til et godt arbeidsmiljø.
Du vil få lønn etter avtale og bli en del av et dynamisk arbeidsmiljø med gode kollegaer.
Søknad kan sendes til jobb@valakerbakeri.no markert med ""Butikkmedarbeider Moa"". Vi vurderer søknader fortløpende og ansetter raskt.","Valaker Bakeri og konditori as har to ulike kjeder, Braud og Valaker, begge bakeributikker med fokus på fersk bakst, god kaffe og noen steder varme småretter. Vi har mange faste kunder og mange dyktige ansatte som har jobbet med oss i mange mange år, et godt og trivelig miljø både bak og foran disken er viktig.
Vi har i alt 14 butikker på Sunnmøre men utvider stadig med flere butikker.",Søk snarest mulig,Butikkmedarbeider i bakeri,Etter avtale,"Fast, deltid 70%","Skift, dagtid og kveld, ukedager og lørdag",Norsk,1,Kontaktperson for stillingenLiv Valaker RørenDaglig Leder915 95 160Kopier telefonnummerjobb@valakerbakeri.noKopier e-postadresse,2782201,Stillingsregistrering,aa5779c2-7a33-469c-bd1d-ea3d02fcfacd
https://arbeidsplassen.nav.no/stillinger/stilling/1dc2810e-3dd6-4eb2-83ad-98f63883d0ca,2024-11-01 23:23:54,1dc2810e-3dd6-4eb2-83ad-98f63883d0ca,Selger med mer,Braud Håndverksbakeri Skodje,"Digernes næringspark 9, 6260 Skodje, Hjemmekontor ikke mulig","Hos oss i Braud Håndverksbakeri får du jobbet med baristakaffe, salg, du kan også få opplæring på kjøkken om du har intresse for matlaging.
Vi har verdens beste kunder i en flott bakeri butikk og vi er et godt team på jobben som har det travelt men kjekt på jobb i lag.
Vil du vite mer om stillingen og arbeidsoppgaver samt muligheter hos oss ta kontakt så tar vi en uformell prat.","Braud håndverksbakeri er et stort og trivelig håndverksbakeri hvor alt av bakst og brød lages ferskt av våre bakere hver morgen. Vi har i tillegg en meny med gode salater, fantastisk pizza og andre varme og kalde retter. Vi har 150 sitterplasser og godt trøkk i disken fra kunder 7 dager i uken.
Denne avdelingen er en av 12 bakeri butikker i vårt firma, som ansatt vil du bli en del av en større organisasjon hvor alle som vil har mulighet til å utvikle seg og gjøre karriere. Gode selgere, gode bakere, gode kokker og gode konditorer er noe vi alltid verdsetter som en viktig del av det å få våre butikker og bakerier til å lykkes.",Søk snarest mulig,Selger Bakeri,Etter avtale,"Fast, deltid 70%","Vakt, dagtid og kveld, ukedager og lørdag",Norsk,1,Kontaktperson for stillingenLiv V RørenSelger baker91595160Kopier telefonnummerLiv.roren@valaker.asKopier e-postadresse,2782200,Stillingsregistrering,1dc2810e-3dd6-4eb2-83ad-98f63883d0ca
https://arbeidsplassen.nav.no/stillinger/stilling/f45ac421-b999-43af-97d5-663022bc2374,2024-11-01 23:23:55,f45ac421-b999-43af-97d5-663022bc2374,Vi søker flere ringevikarer!,Nab Skogen Barnehage As,"Follesevegen 97, 5302 Strusshamn, Askøy, Hjemmekontor ikke mulig","

Hva vi ser etter
Personlige egenskaper
· Være glad i Natur og uteliv
· Være en tydelig, trygg og omsorgsfull voksen som trives med å jobbe med barn
· Lekende voksen med fokus på barns beste
· Være en god teamarbeider, men samtidig kunne arbeide selvstendig
· Gode kommunikasjonsevner
. Kan sette seg raskt inn i nye arbeidsoppgaver
· Ansvarsbevisst
· Initiativrik og engasjert og ser muligheter framfor begrensninger
· Fleksibel og løsningsorientert
· Bidra til et godt arbeidsmiljø
Kvalifikasjoner:

Beherske norsk skriftlig og muntlig

Gyldig politiattest



Arbeidsoppgaver
Vil du være med å få hvert eneste barn til å føle seg verdifull? Vil du være med i et team fylt med engasjement og lekne hverdager? Har du lidenskap for natur og uteliv? Da er du den vi ser etter!
Skogen barnehage er en natur- og aktivitetsbarnehage på Askøy. Vi holder til i naturskjønne omgivelser like ved Follese fotballanlegg. Barnehagen er privat og startet opp i 2006. Det er i dag 76 barn i alderen 0-6 år som er fordelt på fem avdelinger: 2 småbarns avdelinger 0-3 år, 2 mellomavdelinger 3-5 år og egen førskolegruppe for 5-6 åringer.
Arbeidsoppgaver:

Lek og omsorg med barna, følge barnehagens rutiner og rammeplan.

Tilrettelegge for barns lek, læring, erfaring og utvikling i samarbeid med teamet.

Samarbeid med foresatte



Vi tilbyr
Vi tilbyr:

Et inkluderende og godt arbeidsmiljø

Konkurransedyktig lønn og gode pensjonsordninger etter PBLs regulativ

Arbeidstid i vaktsystem innenfor barnehagens åpningstid (06.45-17.00)","Skogen barnehage er en natur- og aktivitetsbarnehage på Askøy.
Vi holder til i naturskjønne omgivelser like ved Follese fotballanlegg. Barnehagen er privateid og startet opp i 2006. Det er i dag 76 barn i alderen 0-6 år som er fordelt på fem avdelinger: 2 småbarns avdelinger 0-3 år, 2 mellomavdelinger 3-5 år og egen førskolegruppe for 5-6 åringer.",Søk snarest mulig,Barnehageassistent,Etter avtale,"Annet, deltid 50%","Vakt, dagtid, ukedager",Norsk,1,Kontaktperson for stillingenTherese StorbakkStyrer45617490Kopier telefonnummerstyrer@skogenbarnehage.noKopier e-postadresse,2782199,Stillingsregistrering,f45ac421-b999-43af-97d5-663022bc2374
https://arbeidsplassen.nav.no/stillinger/stilling/c2271efc-3cba-4217-b4eb-3972e5357166,2024-11-01 23:23:56,c2271efc-3cba-4217-b4eb-3972e5357166,Bli vår nye bartender på Royal Burger!,Kiosko As,"Neumanns gate 2a, 5011 Bergen, Hjemmekontor ikke mulig","

Hva vi ser etter
Vi ser etter en utadvendt og serviceinnstilt person som elsker å jobbe med mennesker og som er genuint opptatt av å gi en god kundeopplevelse. Den ideelle kandidaten er:

Kommunikativ og positiv: Du har lett for å kommunisere og skape en hyggelig atmosfære for gjestene. Et smil og en positiv innstilling er viktig for å lykkes i denne rollen.

Pålitelig og ansvarsfull: Vi trenger noen som kan møte opp på jobb til avtalt tid og som tar ansvar for sine oppgaver, både i hektiske og rolige perioder.

Tilpasningsdyktig og lærevillig: Ingen dager er like i baren, og det er viktig å kunne tilpasse seg nye situasjoner. Du lærer raskt og er alltid åpen for å utvikle dine ferdigheter.

Interesse for bartending: Erfaring er ikke nødvendig, men du bør ha et engasjement for bartending og ønske om å lære mer om drikkevarer og servering.



Arbeidsoppgaver
Som bartender vil du være ansvarlig for å gi gjestene en god opplevelse gjennom å servere drikke og bidra til en hyggelig atmosfære. Dine hovedoppgaver vil inkludere:

Drikkevarehåndtering: Blande og servere drinker etter standard oppskrifter. Opprettholde kvaliteten på alle drinker som serveres.

Kundebehandling: Sikre god service til alle gjester, være imøtekommende, svare på spørsmål om menyen og gi anbefalinger. Opprettholde et vennlig og profesjonelt forhold til gjestene.

Kontroll og ryddighet: Holde barområdet ryddig og organisert gjennom skiftet. Dette inkluderer regelmessig rengjøring av arbeidsflater, glass og utstyr, samt sørge for at baren alltid er presentabel.

Håndtering av kasse: Ta betaling og håndtere kassen korrekt, inkludert bruk av betalingsterminaler og kasseoppgjør ved skiftets slutt.

Ansvar for lager og bestilling: Sørge for at baren alltid har nok lager av nødvendige ingredienser og rekvisita. Dette kan inkludere bestilling og mottak av varer, samt kontroll på lagernivå.

Alkoholansvar: Følge lover og regler for servering av alkohol, inkludert å passe på at det ikke serveres alkohol til mindreårige eller åpenbart berusede personer.



Vi tilbyr
Hos oss får du muligheten til å jobbe i et inkluderende og dynamisk miljø der alle blir verdsatt. Vi tilbyr:

Personlig og faglig utvikling: Du vil få opplæring og muligheten til å utvikle dine ferdigheter innen service, kundebehandling og bartending.

Konkurransedyktig lønn og arbeidsvilkår: Hos oss får du en rettferdig lønn som reflekterer innsatsen du legger ned. I tillegg har vi fleksible arbeidstidsordninger, slik at du kan balansere jobb og fritid.

Karrieremuligheter: For de som ønsker å satse videre i bransjen, har vi muligheter for ansvar og lederroller. Vi er alltid åpne for å hjelpe deg med å nå dine karrieremål.","Kiosko AS, bedre kjent som Royal Burger i Bergen, er en moderne og inkluderende serveringsbedrift som setter kvalitet og kundetilfredshet i høysetet. Vi tilbyr et variert utvalg av smakfulle burgere og drikkevarer i et hyggelig miljø. Vårt mål er å gi gjestene en minneverdig opplevelse, kombinert med god mat og utmerket service.",Søk snarest mulig,Bartender,Etter avtale,"Fast, heltid 100% og deltid 50%","Skift, kveld, natt og dagtid, alle dager",Engelsk,2,Kontaktperson for stillingenNebi BuldukDaglig leder+47 400 56 703Kopier telefonnummer,2782197,Stillingsregistrering,c2271efc-3cba-4217-b4eb-3972e5357166
https://arbeidsplassen.nav.no/stillinger/stilling/46d5ed5a-1b6c-4c78-bdb0-4301354151db,2024-11-01 23:23:58,46d5ed5a-1b6c-4c78-bdb0-4301354151db,Er du vår nye Prosjektleder?,Peak Services As Avd Bærum,"Oslo, Asker, Bærum, Lillestrøm, Lørenskog, Nordre Follo, Enebakk, Ullensaker, Nannestad, Nesodden, Drammen, Lier, Gjerdrum, Hjemmekontor ikke mulig","Stillingsannonse Prosjektleder Stor-Oslo
Vil du være med på den spennende utviklingen av Peak Services AS i Stor-Oslo?
Peak Services er godt etablert som totalleverandør av renholdstjenester og byggeplasstjenester i Trøndelag og Stor-Oslo regionen. Vi har hatt en sterk vekst i antall tjenester, oppdrag, ansatte og omsetning siden oppstart - og vi har ikke tenkt å bremse. Vi ser nå etter en prosjektleder for byggeplasstjenester og temporært renhold i Oslo til å styrke laget ytterligere med flere prosjektledere.
Ansvarsområde:
Som prosjektleder i Oslo vil du ha stor del av lederansvaret for vår aktivitet på store og mindre prosjekt på det sentrale Østlandet. Vi utfører byggeplasslogistikk, RTB, byggvask og riggarbeider.
Dine arbeidsoppgaver vil bla. bestå av:
Vi har pr i dag 60-70 personer i sving daglig på fulltid på det sentrale Østlandet. Du må også være med gjengen å dra lasset når det trengs i alle ledd.
Dette er en varierende stilling, der deler av arbeidet krever tilstedeværelse og oppfølging ute der moroa skjer. Man må og ta i et tak fysisk når det trengs og administrasjon.
Du vil ha et godt team rundt deg på laget bestående av teamledere etc som har vært med dag en i Oslo.

Planlegging og koordinering av oppdrag i vår portefølje

Daglig bemanning, oppfølging og opplæring av våre ansatte

Oppfølging og kvalitetskontroll på prosjektet

Forventet bakgrunn og erfaring:

Ledererfaring fra byggebransjen

Ledererfaring innen byggeplasslogistikk, eller temporære tjenester.

Kommunisere godt både muntlig og skriftlig på norsk og engelsk.

Økonomiforståelse

Som person og leder er du trygg og har høy integritet. Du er strukturert, effektiv og trives med hektiske arbeidsdager. Du må ha gode holdninger til HMS og kvalitet i arbeidet som skal utføres.
Her i Peak kan man bestemme karrieren sin selv fremover er det rett person. Prosjektleder skal ila året tre inn i en avdelingslederrolle, så etterhvert avdelingen vokser vil det dukke opp flere posisjoner vi skal fylle. Vil du være med på reisen?
Peak Services tilbyr:
Du vil få en variert og spennende arbeidshverdag med hyggelige kollegaer og et godt arbeidsmiljø. Vi tilbyr konkurransedyktige lønnsbetingelser.
Er denne stillingen noe for deg? Da vil vi gjerne høre fra deg. Søk eller ta kontakt med regionleder Bjørnar Veum for en uforpliktende og konfidensiell samtale. 
Søknader behandles fortløpende.
Kontaktinfo:
Bjørnar Veum
tlf 40008283, mail
oslo@peakservices.no
Om Peak Services:
Peak Services startet sin reise i januar 2020 og har siden den gang oppnådd betydelig vekst. Med en dedikert stab på over 140 ansatte, har vi etablert oss som en pålitelig aktør i bransjen.
Vår tilstedeværelse er nasjonal, med avdelinger både i Trondheim og Stor-Oslo. Vi har et klart mål for øye: Å være din foretrukne leverandør på renhold og byggeplasstjenester. Vi er stolte av å tilby produkter og tjenester av høy kvalitet som møter dine behov og forventninger.
Velkommen til Peak Services -- Kundens foretrukne leverandør på renhold og byggeplasstjenester","Peak Services startet sin reise i januar 2020 og har siden den gang oppnådd betydelig vekst. Med en dedikert stab på over 140 ansatte, har vi etablert oss som en pålitelig aktør i bransjen. I Stor-Oslo har vi over 60 ansatte.
Vår tilstedeværelse er nasjonal, med avdelinger både i Trondheim og Stor-Oslo. Vi har et klart mål for øye: Å være din foretrukne leverandør på renhold og byggeplasstjenester. Vi er stolte av å tilby produkter og tjenester av høy kvalitet som møter dine behov og forventninger.
Velkommen til Peak Services -- Kundens foretrukne leverandør på renhold og byggeplasstjenester",Søk snarest mulig,Prosjektleder byggeplass og temporære tjenester,Etter avtale,"Fast, heltid 100%","Skift, dagtid, ukedager","Norsk, skandinavisk eller engelsk",1,Kontaktperson for stillingenBjørnar VeumRegionleder40008283Kopier telefonnummeroslo@peakservices.noKopier e-postadresse,2782194,Stillingsregistrering,46d5ed5a-1b6c-4c78-bdb0-4301354151db
https://arbeidsplassen.nav.no/stillinger/stilling/faefd3e0-9d98-473f-9509-d97a9c4551a2,2024-11-01 23:23:59,faefd3e0-9d98-473f-9509-d97a9c4551a2,Snekker søkes,Christiania AS,"Oslo, Hjemmekontor ikke mulig","

Hva vi ser etter

Har solid erfaring innen tømrerfaget, gjerne med fagbrev.

Trives både med selvstendig arbeid og som del av et team.

Er løsningsorientert, ser muligheter og har øye for detaljer.

Setter kvalitet, nøyaktighet og punktlighet høyt i arbeidet.
 



Arbeidsoppgaver

Planlegging av egne arbeider og samarbeide i team

Utvendig og innvendig reisverk

Montering av dører og vinduer

Montering og tilpassning av panel
 
 



Vi tilbyr

Godt arbeidsmiljø

Tjenestepensjon

Konkurransedyktige betingelser

Arbeidsklær og verktøy

Varierte arbeidsoppgaver, Norsk språklig arbeidsmiljø, hyggelige kollegaer fra 18 - 67 år, både kvinner og menn...","Mellomstort selskap med lang erfaring, med tilhold i Oslo. Utfører arbeider for bedriftskunder i både egen og ekstern regi.",Søk snarest mulig,Snekker,Etter avtale,"Engasjement, heltid 100%","Dagtid, ukedager","Norsk, engelsk eller skandinavisk",1,Kontaktperson for stillingenLarspost@cmbas.noKopier e-postadresse,2782193,Stillingsregistrering,faefd3e0-9d98-473f-9509-d97a9c4551a2
https://arbeidsplassen.nav.no/stillinger/stilling/3caaa4e3-dcd1-45ad-87d9-d2bb1bc69442,2024-11-01 23:24:01,3caaa4e3-dcd1-45ad-87d9-d2bb1bc69442,Ekstrahjelp Barception Crew,Comfort Hotel Porsgrunn,"3915 Porsgrunn, Hjemmekontor ikke mulig","Har du lyst til å jobbe i den mest kreative og stadig voksende hotellkjeden i Nord-Europa? Er du en person som liker utfordringer og streber etter noe unikt? Strawberry har jobbet for innovasjon i hotellbransjen i mange år. Vi har tro på at talent kan komme fra hvor som helst. Vi er aldri gjennomsnittlig - er du?Comfort Hotel Porsgrunn er et nytt, urbant hotell midt i Porsgrunn sentrum. Med sine 134 hotellrom i ulike type kategorier, 7 konferanserom, Comfort frokost, konferanselunsjer og Barception har vi et bredt tilbud. Vi har to terrasser, samt et treningsrom med panorama utsikt. Nå trenger vi en servicehelt til vårt Barception crew i en ekstrahjelpstilling!Arbeidsoppgaver:Daglig resepsjonsarbeid som innsjekking og utsjekking, håndtere telefoner og gjesteforespørslerAdministrativt arbeid som fakturering og gjennomgang av ankomstlisterSikkerhetsrutiner og generelle rutinerRenholdHåndtering og servering fra barArbeidstid i turnus: dag og kveld, noe natt.Oppstart etter avtale for opplæringEkstrahjelp ved behov, med mulighet for merVi ser etter deg som: er sprudlendeutpreget serviceinnstilt da din viktigste oppgave er å ta vare på hotellet og våre gjesterselvstendig og tryggdu må kunne ha flere baller i luften samtidig, da oppgavene er varierte og morsomme!Forstår et skandinavisk språk både skriftlig og muntliger over 20 år grunnet alkoholserveringEr dette din perfekte match? Send oss din søknad via linken idag Vi kommer til å vurdere aktuelle søknader fortløpende, så nøl ikke om du er interessert.Vi håper å høre fra akkurat deg!Spørsmål vedrørende stillingen kan stilles til vår Barception Manager Anette Bjervamoen: anette.bjervamoen@strawberry.noWe’re Comfort Hotel® – a hotel chain that promises to give our guests what they need, and skip the unnecessary. We have great locations, urban design and we’re offering selected services, but the service we give is great. We aim to be Easy on the wallet, have Easy access, be Easy to enjoy and last but definitely not least – be Easy on the planet. Comfort Hotel® is part of Strawberry.","We’re Comfort Hotel® – a hotel chain that promises to give our guests what they need, and skip the unnecessary. We have great locations, urban design and we’re offering selected services, but the service we give is great. We aim to be Easy on the wallet, have Easy access, be Easy to enjoy and  ...",Søk senest søndag 8. desember,,,Annet,,Skandinavisk,1,Kontaktperson for stillingenKristine Palmgren+47 900 82 393Kopier telefonnummerkristine.palmgren@choice.noKopier e-postadresse,2782195,workbuster,7e954a72-f4d7-45cb-b698-8dedd59c8f70
https://arbeidsplassen.nav.no/stillinger/stilling/1900fc75-1a98-46d0-8543-eb6507be46fa,2024-11-01 23:24:02,1900fc75-1a98-46d0-8543-eb6507be46fa,Taxisjåfør,Hov Taxi-sentral Ans,"Sentrumsvegen 3, 2860 Hov, Hybridkontor","

Hva vi ser etter
Vi ser etter en person som bor i Søndre land da noen av vaktene kan være hjemmevakt.


Arbeidsoppgaver
Den som tilsettes må påregne fast kjøring 1-2 helger i måneden og kunne dekke opp ved ferie og fravær i uka. I utgangspunktet er jobben stipulert til 50% stilling, men det er mulig at behovet i perioder er en god del større slik at det kan tilkomme økning i stillingsprosenten.


Vi tilbyr
Vi tilbyr lønn etter provisjon og et godt arbeidsmiljø.",Hov Taxisentral ligger i Søndre Land kommune og har for tiden 8 biler og 2 minibusser.,Søk senest fredag 22. november,Reservesjåfør (drosje/taxi),Etter avtale,"Fast, deltid 50%","Turnus, dagtid, kveld og natt, alle dager",Norsk,1,Kontaktperson for stillingenMagne HagenDrosjeeier95290521Kopier telefonnummerhovtaxi@taxi03650.noKopier e-postadresse,2782190,Stillingsregistrering,1900fc75-1a98-46d0-8543-eb6507be46fa
https://arbeidsplassen.nav.no/stillinger/stilling/5726c852-e51a-48a5-84ba-505087805390,2024-11-01 23:24:03,5726c852-e51a-48a5-84ba-505087805390,Fonnes Shipping as søker kontor og regnskapsmedarbeider,Fonnes Shipping As,"Vardevegen 79, 5953 Fonnes, Hjemmekontor ikke mulig","

Hva vi ser etter
Ønskede kvalifikasjoner:

Erfaring eller utdanning innen kontor- og administrasjonsarbeid/regnskap

Erfaring fra Shipping-bransjen er en fordel.

Gode kunnskaper i engelsk og norsk, skriftlig og muntlig.

Sertifikat klasse B



Arbeidsoppgaver
I forbindelse med økt aktivitet, søker vi etter kontor- og regnskapsmedarbeider som kan bistå med oppgaver i forbindelse med bemanning av skip, administrasjonsarbeid og regnskap.
· Bistå med bemanning av skipene og det dette innebærer.
· Bistå regnskapsansvarlig med regnskapsføring, fakturering og rapportering
· Innkjøp, kontroll og oppfølging av faktura.
· Daglige driftsoppgaver som post m.m.
· Forefallende adm. arbeid etter behov


Vi tilbyr

Varierte arbeidsoppgaver

Lønn etter avtale

Gode utviklingsmuligheter","Fonnes Shipping as er ett rederi som driver 9 stk. bulk/selvlosser skip som seiler i kyst/nordsjø og europeisk fart. Skipene er i størrelsen fra 1800-6000 tonn dwt. Fonnes Shipping står for den fullstendige tekniske driften av alle skipene, inkludert bemanning. Fonnes Shipping ivaretar også regnskap for alle skipene. Fonnes Shipping holder til på Fonnes Senter på Fonnes i Austrheim kommune, 3 min fra Mongstad.",Søk senest tirsdag 31. desember,Kontor- og administrasjonsmedarbeider,Etter avtale,"Fast, heltid 100%","Dagtid, ukedager",Norsk eller engelsk,1,Kontaktperson for stillingenKjersti Sætre56168245Kopier telefonnummerpost@fonnesshipping.noKopier e-postadresse,2782180,Stillingsregistrering,5726c852-e51a-48a5-84ba-505087805390
https://arbeidsplassen.nav.no/stillinger/stilling/abbd4033-627f-48e7-85af-7356974c7bfc,2024-11-01 23:24:05,abbd4033-627f-48e7-85af-7356974c7bfc,Taxisjåfører søkes,Atlas Taxi As,"Furuset Alle 4 B, 1053 Oslo, Hjemmekontor ikke mulig","

Hva vi ser etter
Vi søker pålitelige,punktlige viljestyrke personer.
Du serviceinnstilt,liker å jobbe med mennesker,sosial og positiv blid.
 
 


Arbeidsoppgaver
Vi trenger dyktige sjåfører til våre biler.
Kjøring i Oslo og omegn.
Kjøreseddel er obligatorisk.
Arbeidstid: Dag/Kveld/Natt
 
 


Vi tilbyr
Vi tilbyr provisjons jobb 50%.
En spennende jobb mulighet for de som liker å være egen sjef og som er glad i å kjøre bil.
Du skal få bestemme din arbeidstid.En jobb som er fleksibelt og spennende.
Ingen dag er lik.Nødvendig opplæring vil bli gitt.","Atlas Taxi AS: Er en seriøs og ansvarsbevist bedrift innen person transport.
Bedriften er etablert for å yte god fremkommelighet og konkurranse dyktig trygg fremkjøring av kunder.
Våre ambisjoner er å kjøre folk fra a til b og påse at alle kommer frem trygg.
Transport bransjen er en viktig del i dagens samfunn og Atlas taxi as er stolte å være en del av det per idag.",Søk snarest mulig,Taxisjåfør,Etter avtale,"Fast, heltid 100%","Skift, dagtid, kveld og natt, alle dager","Norsk, engelsk eller skandinavisk",10,Kontaktperson for stillingenYunusKjøreansvarlig90527963Kopier telefonnummerAtlasstaxi@gmail.comKopier e-postadresse,2782173,Stillingsregistrering,abbd4033-627f-48e7-85af-7356974c7bfc
