url,scrape_time,uuid,title,company,location,job_content,employer,deadline,stillingstittel,oppstart,type_ansettelse,arbeidstid,arbeidsspråk,antall_stillinger,contact_person,stillingsnummer,hentet_fra,referanse
https://arbeidsplassen.nav.no/stillinger/stilling/820aeed4-1aa5-4fee-a179-ebdb818d6ea9,2024-10-25 23:29:03,820aeed4-1aa5-4fee-a179-ebdb818d6ea9,Serviceinnstilt kino- og kioskvert til Harstad Kino,Harstad Kulturhus As,"Erlings gate 3, 9405 Harstad, Hjemmekontor ikke mulig","Er du kreativ, åpen, arbeidsom, positiv og villig til å by på deg selv? Er du glad i film og kinogodteri? Da er du den rette medarbeideren for oss på Harstad Kino. Vi søker en serviceinnstilt kinovert i 50% i et vikariat frem til 10. januar 2026.
Arbeidsoppgaver:

Kundebehandling, salg og service. Kioskarbeid. Tekniske oppgaver i forbindelse med filmavvikling. Vareeksponering i forbindelse med både kiosk og film. Markedsføring i våre kanaler i sosiale medier, inkludert å stå frem i disse kanalene. Være med å lage arrangement rundt filmpremierer, inkludert å kle deg ut. Jobben er fysisk krevende med for eksempel løfting av varer og det å måtte stå i lengre perioder.

Forefallende arbeid

Jobben foregår hovedsakelig på kveldstid, noe dagtid, i helger og hverdager, på helligdager inkludert jul og påske.

Kvalifikasjoner

Gjerne tidligere erfaring ved å jobbe i kiosk eller butikk

Kunne med sosiale medier

Gode datakunnskaper

Personlige egenskaper

Serviceinnstilt

Gode samarbeids- og kommunikasjonsevner

Evne til å ta ansvar og jobbe selvstendig, så vel som i team

Søknadsfrist: snarest, men senest 15. november. Send søknad til kinosjef Helene Hokland på epostaddresse helene@harstadkino.no Ta gjerne kontakt på forhånd om du har spørsmål om stillingen på epost eller mobil 48368318. Om du har søkt på jobb på Harstad Kino før, søk gjerne igjen.
Arbeidsgiver: Harstad Kulturhus
Stillingstittel: Kinovert
Stillinger: 1
Heltid/deltid: Deltid
Stillingsprosent: 50%, midlertidig
Oppstart: 9. desember eller etter avtale
Må være 18 år eller over.","Harstad Kino, som er under Harstad Kulturhus AS, har i snitt 60 000 besøk i året, og rundt 2400 forestillinger i året.",Søk senest fredag 15. november,Kinobetjent,9. desember 2024,"Vikariat, deltid 50%","Turnus, dagtid og kveld, alle dager",Norsk,1,Kontaktperson for stillingenHelene HoklandKinosjef48368318Kopier telefonnummerhelene@harstadkino.noKopier e-postadresse,2776694,Stillingsregistrering,820aeed4-1aa5-4fee-a179-ebdb818d6ea9
https://arbeidsplassen.nav.no/stillinger/stilling/7949e861-1c6c-4143-af4d-3e736824b073,2024-10-25 23:29:04,7949e861-1c6c-4143-af4d-3e736824b073,Engasjert medarbeider søkes,Shell Brønnøysund,"Sømnaveien 103, 8900 Brønnøysund, Hjemmekontor ikke mulig","

Hva vi ser etter
Om du mener du er vår nye medarbeider og kollega så kjenner du deg igjen i følgende punkter:

Trives med salg, mersalg og service

Jobber godt i team og alene

Fleksibel og har høy arbeidskapasitet

Trigges av å nå målsettinger

Bidrar til et positivt og inkluderende arbeidsmiljø

Liker skiftarbeid (dag, kveld og natt)

Må være over 18 år

Må beherske norsk muntlig og skriftlig

 


Arbeidsoppgaver
Stillingen innebærer de arbeidsoppgaver som faller inn under driften av en moderne energistasjon med fokus på:

Salg og mersalg

Produksjon av førsteklasses matprodukter

Varepåfylling

Renhold og oppfølging av bedriftens IK-mat rutiner



Vi tilbyr
Ved siden av å tilby en hektisk og energisk arbeidsplass med et bredt spekter av arbeidsoppgaver kan vi tilby:

God opplæring i rollen

Gode kolleger

Konkurransedyktig betingelser

Spennende utviklingsmuligheter i et selskap under en solid merkevare

Lønn etter tariff

I Helgeland stasjonene er vi alle like og ulike. Mangfoldet beriker oss.","Shell Brønnøysund er en døgnåpen energistasjon, som selger både drivstoff, kioskvarer, mat og bilvask. Shell Brønnøysund er en av tre Shell stasjoner på helgeland som drives av Helgeland Stasjonene AS
Vi setter trivsel og arbeidsmiljø høyt og jobber hver dag for at våre medarbeidere skal ha en fin dag på jobb!",Søk senest fredag 15. november,Butikkmedarbeider,Etter avtale,"Fast, deltid 80%","Skift, kveld, natt og dagtid, alle dager",Norsk eller skandinavisk,2,Kontaktperson for stillingenBelinda TysselandButikksjef90249525Kopier telefonnummerbrs@helgelandstasjonene.noKopier e-postadresse,2776689,Stillingsregistrering,7949e861-1c6c-4143-af4d-3e736824b073
https://arbeidsplassen.nav.no/stillinger/stilling/c4efb0f1-d6e2-4fc2-a389-d33921cbe94b,2024-10-25 23:29:05,c4efb0f1-d6e2-4fc2-a389-d33921cbe94b,Billakkerer/Smart Repair søkes for snarlig ansettelse.,Easyrepair As,"C.O Lundsgt 5 , 3043 Drammen, Norge, Hjemmekontor ikke mulig","Vi søker en bilintressert person for vedlikehold,lakkutbedring og polering av biler.
Erfaring med lakkering/Smart Repair er en fordel men ingen betingelse. Opplæring vil bli gitt.
Førerkort er ett krav.","EasyRepair driver med vedlikehold,skade og lakk på lette kjøretøy. Våre oppdragsgivere er mange,som private,bilforhandlere (nytt og brukt) samt Vestre Viken,s Ambulanser.",Søk senest fredag 15. november,Billakkerer,Etter avtale,"Fast, heltid 100%","Dagtid, ukedager",Norsk,1,Kontaktperson for stillingenRoy BostrømDaglig Leder+4796517929Kopier telefonnummerpost@easyrepair.noKopier e-postadresse,2776688,Stillingsregistrering,c4efb0f1-d6e2-4fc2-a389-d33921cbe94b
https://arbeidsplassen.nav.no/stillinger/stilling/af29d1c9-8363-4f6b-804a-dae467293306,2024-10-25 23:29:06,af29d1c9-8363-4f6b-804a-dae467293306,TAXISJÅFØR,K.ringberg Kran Og Transport As,"Ringveien 99, 9018 Tromsø, Hjemmekontor ikke mulig","

Hva vi ser etter
Ansvarsfull sjåfør søkes


Arbeidsoppgaver
Vi søker etter taxi sjåfør i fast stilling...høy prosent andel
48%
Må ha førerkort og kjøreseddel
Må være høflig å flink forsiktig sjåfør


Vi tilbyr
Fast jobb og høy prosentandel
nytt utstyr
ikke el.bil","K.Ringberg kran og transport as er en lokal forankret bedrift i Tromsø.
Vi driver med Taxi og minibusser",Søk senest tirsdag 5. november,Taxisjåfør,2. november 2024,"Fast, heltid 100%","Skift, dagtid, kveld og natt, alle dager","Norsk, skandinavisk eller engelsk",1,Kontaktperson for stillingenKenneth RingbergDaglig Leder93212446Kopier telefonnummerpost@ringbergtransport.noKopier e-postadresse,2776687,Stillingsregistrering,af29d1c9-8363-4f6b-804a-dae467293306
https://arbeidsplassen.nav.no/stillinger/stilling/fa62aa3a-8697-417f-9b57-f1d67165513d,2024-10-25 23:29:08,fa62aa3a-8697-417f-9b57-f1d67165513d,SJÅFØR MINIBUSS,K.ringberg Kran Og Transport As,"Ringvegen 99, 9018 Tromsø, Tromsø, Hjemmekontor ikke mulig","Vi søker etter en ansvarlig sjåfør til en av våre minibusser for hovedsakelig kjøring på Nordlys turisme for sesongen 2024-2025
oppstart NOVEMBER 2024
Dette er en jobb som krever førerkort kl.D1 og norsk kjøreseddel for persontransport+YSK
Vi er behjelpelig med ysk for rette person
Dette er en meget godt betalt jobb for rette mann/kvinne med ordnede pensjon og forsikringer.....Må kunne minimum engelsk men flerspråkelig vil bli foretrukket.
Fullstendig opplæring vil bli gitt...Vi har et veldig godt miljø og fine lokaler på
Ringvegen 99
SØKER MÅ BO I TROMSØ/OMEGN ELLER HA MULIGHET FOR BOPLASS...VI HAR IKKE BOPLASS Å TILBY.",K.Ringberg er en lokalt forankret bedrift i Tromsø som driver med diverse transporttjenester.,Søk senest tirsdag 5. november,Sjåfør (buss),4. november 2024,"Sesong, heltid 100%","Turnus, kveld og natt, alle dager",Engelsk,3,Kontaktperson for stillingenKENNETH RINGBERGDAGLIG LEDER93212446Kopier telefonnummerpost@ringbergtransport.noKopier e-postadresse,2776686,Stillingsregistrering,fa62aa3a-8697-417f-9b57-f1d67165513d
https://arbeidsplassen.nav.no/stillinger/stilling/7526b80e-ef6d-447b-85a8-de5670bffd2f,2024-10-25 23:29:09,7526b80e-ef6d-447b-85a8-de5670bffd2f,Vi søker kjøkkenmedarbeider hos Jordbærpikene Buskerud,Jordbærpikene Buskerud As,"Sandsgata 20, 3055 Krokstadelva, Hjemmekontor ikke mulig","Ønsker du å jobbe et sted hvor maten er genuint velsmakende og hjemmelaget? Da er Jordbærpikene det åpenbare valget!
I Jordbærpikene får du bli en del av en gjeng som ELSKer jobben sin og har det gøy hver eneste dag. For å klare det, trenger vi enda flere jordbær med på laget 🍓Vi på Buskerud søker Kjøkkenmedarbeidertil en deltids stilling. Det vil være mer jobb i desember. Du kan gjerne være student som ønsker å jobbe en kveld i uken og annenhver lørdag.
Vi ønsker mangfold og variasjon blant våre medarbeidere og ønsker derfor å komme i kontakt med kvalifiserte søkere uavhengig av etnisk bakgrunn, kjønn eller alder.
I jordbæråkeren finnes det flust av muligheter. Hvorfor skal du velge Jordbærpikene?
Med Jordbærpikene får du sjansen til å være med på en unik reise. Vi er et godt etablert konsept der våre kafeer har en varm og avslappet atmosfære, samtidig som tempoet er høyt. Du vil være del av et miljø hvor det legges til rette for samspill med dine kolleger der alle gleder seg til å gå på jobb som er essensielt for å lykkes hos oss. Du kan forvente god opplæring og faglig påfyll hos oss 🧑‍🍳
Som kjøkkenmedarbeider er du genuint interessert i å servere gode matopplevelser. Du utstråler våre verdier, er en lagspiller som byr på seg selv. Lidenskap for å skape gode gjsteopplevelser.
Det er en fordel dersom du:

Har erfaring fra kjøkken, kokkebakgrunn med eller uten fagbrev

Kan også like å jobbe ute i kafe

Har god kunnskap om IK-mat og HMS

Trives i et hektisk arbeidsmiljø med høyt tempo

Er selvstendig og kan ta egne avgjørelser

Kan jobbe dag, kveld og annenhver lørdag

Er over 20 år

I Jordbærpikene har vi matretter og bakst som lages på våre egne oppskrifter. Vi ønsker oss deg som på en effektiv og engasjert måte er med på å produsere og levere vår meny etter våre standarder. Vi ønsker gjestene velkommen med et herlig ekte smil - hver dag også når det er som mest hektisk.
Våre verdier oppsummeres i ordet ELSK💛 og fører vei i vår arbeidshverdag:

EIERSKAP - Vi er stolte ambassadører som tar ansvar for hele virksomheten - økonomisk og sosialt. Aldri halvveis, aldri litt.

LIDENSKAP - Vi brenner for jobben vår, trives i et sultent prestasjonsmiljø og har et varmt hjerte for mat og mennesker.

SAMSPILL - Vi spiller hverandre gode, unner andre suksess og vet at vi alltid presterer sterkest sammen.

KREMMERÅND - Vi er offensive og griper muligheter for utvikling og vekst. Vi vet at gode resultater kommer av å skape og gjenskape fine gjesteopplevelser - bedre for hver dag.

Har du spørsmål er du hjertlig velkommen til å ta kontakt med Cafèeier Kine Ølstadpå mail: buskerud@jbp.no","Jordbærpikene er en koselig møteplass hvor du kan senke skuldrene og nyte et godt måltid med hjemmelaget mat. Eller kose deg med litt kaffe og kake mens du slår av en prat med noen du liker å være sammen med.
Både mat og kaker lager vi fra bunnen av, med sesongens friske råvarer. Vi er derfor et naturlig møtested for alt fra kaffe og kaker til lunsj og middag. Maten serverer vi med et stolt smil om munnen, og, vi er så fornøyd med oppskriftene våre at vi gjerne deler dem med deg.",Søk snarest mulig,Kokk,1. november 2024,"Fast, deltid 30%","Skift, dagtid og kveld, ukedager og lørdag",Norsk eller skandinavisk,1,Kontaktperson for stillingenKine ØlstadDaglig lederbuskerud@jbp.noKopier e-postadresse,2776685,Stillingsregistrering,7526b80e-ef6d-447b-85a8-de5670bffd2f
https://arbeidsplassen.nav.no/stillinger/stilling/f496cf15-bf7d-43a5-a359-d1489a1cfe08,2024-10-25 23:29:10,f496cf15-bf7d-43a5-a359-d1489a1cfe08,Vi ser etter skjulte talenter! Er det deg?,EV HUB AS,"Strømsveien 179, 0665 Oslo, Hjemmekontor ikke mulig","

Hva vi ser etter
Vi ser etter deg som har fagbrev som bilmekaniker, elektriker eller elektroreparatør. Men også deg som har minst 2 års erfaring med de relevante arbeidsoppgavene hvis du ikke har fagbrev. Det viktigste for oss er din praktiske erfaring og evne til å håndtere tekniske utfordringer på elektriske og hybridbiler.
Vi ønsker personer som er nøyaktig, løsningsorientert, og som trives med å arbeide med moderne diagnoseverktøy og teknisk dokumentasjon. Dersom du brenner for teknologi og har en interesse for å utvikle dine ferdigheter innen bilreparasjoner, kan du være den vi ser etter.


Arbeidsoppgaver

Feilsøke elektriske og hybridbiler for å identifisere og løse tekniske problemer.

Utføre diagnostikkved hjelp av avanserte verktøy og utstyr for å sikre korrekt feilretting.

Bytte ut defekte deler og installere nye komponenterfor å sikre at kjøretøyene er i topp stand.

Bruke teknisk litteratur og manualer som støtte i arbeidshverdagen for å følge produsentens retningslinjer og sikre høy kvalitet på utførte oppgaver.



Vi tilbyr
Hos EV HUB får du muligheten til å utvikle dine ferdigheter innen elbilteknologi sammen med et innovativt og dyktig team. Vi tilbyr en spennende arbeidshverdag med varierte oppgaver, der du kan fordype deg i alt fra programmering og feilsøking til avanserte reparasjoner og utvikling av spesialverktøy.
Som en del av vårt team får du tilgang til praktisk opplæring, ekspertrådgivning og kurs som støtter din profesjonelle vekst. I tillegg verdsetter vi fleksibilitet og tilbyr konkurransedyktige betingelser. Hos EV HUB blir du en del av en bærekraftig bransje der ditt arbeid bidrar til en grønnere fremtid for transportsektoren.
I denne stillingen får du tittelen Reparing Mechanic.","EV HUB er et teknologiselskap som revolusjonerer tjenester for elbiler (EV) i Norden. Vi tilbyr en innovativ EV-tjenesteplattform og et økosystem av bærekraftige, remanufakturerte høyspenningskomponenter for verkstedkjeder.
Vår skybaserte plattform analyserer data fra elbiler for å oppdage feil i høyspenningskomponenter gjennom hele livssyklusen. Vi leverer dynamiske, skreddersydde inspeksjonsrapporter, som gir EV-bransjen handlingsrettede innsikter.
EV HUB samarbeider med tredjeparts verkstedkjeder, forsikringsselskaper, bilprodusenter (OEM), batteriprodusenter og leverandører av brukte bildeler for å bygge et solid økosystem for bærekraftig vedlikehold og reparasjon av elbiler.",Søk snarest mulig,Mekaniker,Etter avtale,"Fast, heltid 100%","Dagtid, ukedager","Norsk, skandinavisk, engelsk eller samisk",2,Kontaktperson for stillingenFarooq NassirCEO98451867Kopier telefonnummernfa@evhub.noKopier e-postadresse,2776683,Stillingsregistrering,f496cf15-bf7d-43a5-a359-d1489a1cfe08
https://arbeidsplassen.nav.no/stillinger/stilling/42fead52-5967-4301-83c0-7d0141e1aa37,2024-10-25 23:29:11,42fead52-5967-4301-83c0-7d0141e1aa37,Vi ser etter skjulte perler! Er det deg?,EV HUB AS,"Strømsveien 179, 0665 Oslo, Hjemmekontor ikke mulig","

Hva vi ser etter
Vi ser etter deg som har ingeniørutdanning innen elektro, maskin eller mekanikk - eller deg som har minst 2 års erfaring med noen av de relevante arbeidsoppgavene. Det viktigste er din evne til raskt å sette deg inn i komplekse elektroniske og mekaniske systemer.
Har du erfaring med feilsøking, programmering, eller arbeid med høyspenningskomponenter, er det en stor fordel.
Vi søker personer som er nysgjerrig, lærevillig, og motivert til å holde seg oppdatert på ny teknologi og innovative løsninger. Du er strukturert, løsningsorientert, og trives med å håndtere varierte oppgaver i et dynamisk miljø.


Arbeidsoppgaver

Programmering av programvare: Delta i utviklingen av avanserte programvareløsninger som forbedrer funksjonaliteten og ytelsen til elbiler.

Feilsøking av CAN- og LIN-bus-signaler: Identifisere og løse problemer i komplekse CAN- og LIN-bussystemer for å sikre optimal kommunikasjon mellom elbilens komponenter.

Løse immobilizer-utfordringer: Utvikle kreative løsninger for å håndtere immobilizer-systemer, slik at sikkerheten og funksjonaliteten til kjøretøyet opprettholdes.

Overhaling av elektronikk: Reparere og gjenoppbygge elektroniske systemer for å forlenge levetiden til høyteknologiske komponenter.

Demontering og montering av høyspenningskomponenter: Håndtere sikker demontering og installasjon av viktige høyspenningskomponenter i elbiler.

Utvikling av testprosedyrer og rapportering: Lage testprosedyrer og utarbeide rapporter for å sikre at komponenter og systemer fungerer som de skal.

Arbeid med spesialverktøy og utvikling av nye løsninger: Bruke spesialverktøy for avanserte reparasjoner og utvikle nye verktøy som forbedrer verkstedets evne til å møte fremtidige utfordringer.



Vi tilbyr
Hos EV HUB får du muligheten til å utvikle dine ferdigheter innen elbilteknologi sammen med et innovativt og dyktig team. Vi tilbyr en spennende arbeidshverdag med varierte oppgaver, der du kan fordype deg i alt fra programmering og feilsøking til avanserte reparasjoner og utvikling av spesialverktøy.
Som en del av vårt team får du tilgang til praktisk opplæring, ekspertrådgivning og kurs som støtter din profesjonelle vekst. I tillegg verdsetter vi fleksibilitet og tilbyr konkurransedyktige betingelser. Hos EV HUB blir du en del av en bærekraftig bransje der ditt arbeid bidrar til en grønnere fremtid for transportsektoren.
I denne stillingen får du tittelen Reverse Engineer eller Research and Development Technician.","EV HUB er et teknologiselskap som revolusjonerer tjenester for elbiler (EV) i Norden. Vi tilbyr en innovativ EV-tjenesteplattform og et økosystem av bærekraftige, remanufakturerte høyspenningskomponenter for verkstedkjeder.
Vår skybaserte plattform analyserer data fra elbiler for å oppdage feil i høyspenningskomponenter gjennom hele livssyklusen. Vi leverer dynamiske, skreddersydde inspeksjonsrapporter, som gir EV-bransjen handlingsrettede innsikter.
EV HUB samarbeider med tredjeparts verkstedkjeder, forsikringsselskaper, bilprodusenter (OEM), batteriprodusenter og leverandører av brukte bildeler for å bygge et solid økosystem for bærekraftig vedlikehold og reparasjon av elbiler.",Søk snarest mulig,Ingeniør (elektroteknikk),Etter avtale,"Fast, heltid 100%","Dagtid, ukedager","Norsk, skandinavisk, engelsk eller samisk",2,Kontaktperson for stillingenFarooq NassirCEO98451867Kopier telefonnummernfa@evhub.noKopier e-postadresse,2776681,Stillingsregistrering,42fead52-5967-4301-83c0-7d0141e1aa37
https://arbeidsplassen.nav.no/stillinger/stilling/697683c0-214f-4085-aae0-22cca4d1ee4f,2024-10-25 23:29:13,697683c0-214f-4085-aae0-22cca4d1ee4f,"Er du en utpreget nattugle, som trives best med å jobbe natt?",WRK Bemanning AS,"Stavanger, Sandnes, Hjemmekontor ikke mulig","WRK Bemanning søker våkne nattevakter som ønsker å skape en trygg og stabil hverdag for barn og unge på barnevernsinstitusjon. Vi søker deg med en genuin interesse for å jobbe med ungdom, og som har evnen til å skape tillitsfulle relasjoner. Hos oss vil du spille en viktig rolle i å bidra til ungdommenes trygghet om natten.
Dette er en stilling som kan passe deg som er student, nyutdannet eller som har lengre erfaring fra arbeid med ungdom. Enten om du er miljøterapeut og har en relevant helsefaglig bachelor, eller om du er miljøarbeider med relevant erfaring - oppfordrer vi deg til å søke. Erfaring fra institusjonsarbeid, helse- og omsorgsbolig eller psykiatri vil være en fordel.
Det er primært behov i våken nattevaktturnus, men det kan også finnes mulighet til døgnturnus for de rette kandidatene.
Vi ønsker å tilrettelegge arbeidet så langt det lar seg gjøre, også for deg som har studier, annen jobb eller andre forpliktelser ved siden av. Vi tar fortløpende vurderinger etter de krav og kriterier som stillingene krever, og vi vil ha dialog med deg underveis for å kartlegge dine muligheter hos oss.
Avdelingene er plassert i Stavanger, Sandnes og omegn. Omfang, geografi og behov kan du få mer informasjon av oss underveis i rekrutteringsprosessen.
Kvalifikasjoner:

Erfaring fra barneverninstitusjon, helse- og omsorgsbolig eller psykiatri

Førerkort klasse B

Gyldig politiattest i henhold til gjeldende lovverk

Hvem er du?

Du er fleksibel og pålitelig

Du er selvstendig og løsningsorientert

Du er handlekraftig, og tar initiativ når du ser et behov

Du har evnen til å takle utfordrende situasjoner og stress

Du er en lagspiller som er tydelig i din kommunikasjon

I WRK Bemanning får du:

Spisset opplæring innenfor lovverket du skal jobbe i

Ulike erfaringer hos en eller flere profesjonelle oppdragsgivere og samarbeidspartnere

Vi spisser dine muligheter til arbeid ut ifra rett kompetanse og erfaring du har fra tidligere arbeid

Ta del i et faglig og sosialt fellesskap med kompetanse og kvalitet som kilde i alt vi gjør

Du har samme rettigheter gjennom WRK Bemanning som du har hos andre arbeidsgivere, vi er din arbeidsgiver og følger deg tett opp

Tilgang til vårt nettverk innenfor helse- og sosialsektor

Søknader behandles fortløpende og det oppfordres til å søke så snart som mulig.","WRK er et moderne og nytenkende bemanningsselskap med høy kompetanse innenfor helse og sosialfeltet med ekstra fokus på bemanning innenfor barnevern, helse og omsorg, psykiatri og oppvekst.
Vi jobber kontinuerlig med kompetanseheving, utvikling og trivsel. Vi har et stort og bredt nettverk av engasjerte og profesjonelle oppdragsgivere som trenger din arbeidskraft.",Søk senest fredag 15. november,Miljøarbeider (barne- og ungdomsarbeid),Etter avtale,"Fast, heltid 100%","Turnus, natt, alle dager",Norsk,3,Kontaktperson for stillingenMarte KraknesRekrutterings- og bemanningskonsulent+4746113436Kopier telefonnummermarte@wrkbemanning.noKopier e-postadresse,2776661,Stillingsregistrering,697683c0-214f-4085-aae0-22cca4d1ee4f
https://arbeidsplassen.nav.no/stillinger/stilling/9a8c0c95-8b73-493d-b45f-bdb40b67c444,2024-10-25 23:29:14,9a8c0c95-8b73-493d-b45f-bdb40b67c444,"Vi ser etter deg som har fart i kroppen, glimt i øyet og som motiveres av glade og fornøyde kunder","YX - House of Burger, avd Sortland","Havnegata 44, 8400 Sortland, Hjemmekontor ikke mulig","Vi søker 1 stk bensinstasjonsmedarbeider helg/natt til i vår bensinstasjon YX - House of Burger. Denne stillingen vil være på stasjons-avdeling. I hovedsak 20-30% stilling. Denne stillingen passer godt for ungdom!
Kundemassen vår øker og House of Burger trenger dyktige medarbeidere til vår avdeling på Sortland. Du blir en del av en gjeng som trives med høyt tempo og som har det gøy på jobb! Vi er en ung, men godt etablert, fastfood-kjede med meget godt omdømme på mat, service og atmosfære.
Kundene trives best når maten er god og det er rent, pent og ryddig i restauranten. For å ivareta dette trenger vi flere dyktige personer på jobb. Vi søker deg som trives med matlaging, er god venn med vaskekluten og som beholder smilet på gjennom hele vakten. Vi ser etter deg som elsker å jobbe i team og som samtidig er god på egen tidsstyring - aldri halvveis, aldri litt.
Hos House of Burger vil du være en del av et miljø hvor det legges til rette for samspill og utvikling. Du kan forvente god opplæring og faglig påfyll av oss. Vi har et godt arbeidsmiljø hvor alle kan påvirke og bli hørt. Det er tette og gode relasjoner mellom ansatte og ledere.
Arbeidsoppgaver og ansvarsområder

Skape gode matopplevelser!

Kundeservice og ekspedering i kassen.

Tilberede, montere, pakke og merke mat etter HOB oppskrifter og standard.

Rydde og rengjøre restaurant og kundetoalett

Opprettholde et rent og ryddig arbeidsmiljø (stasjonsområdet ute/inne, lager, personalrom m.m.)

Utføre rutinemessig renhold og vedlikehold på bedriftens utstyr.

Varemottak og varepåfylling.

Vi tilbyr

Fleksibel arbeidstid (skiftordning med mulighet for tilpasning etter egne behov)

Ansvar og medbestemmelse

Lønn etter tariff

Trygg arbeidsplass i stadig utvikling

Vi ser etter deg som

Trives i et hektisk arbeidsmiljø med høyt tempo

Har et varmt hjerte for mat og mennesker

Liker å spille andre gode

Liker å prestere på et høyt nivå

Stiller opp på kort varsel ved kollegaers sykdom/fravær","House of Burger er en ung og ambisiøs Fastfood-kjede tilknyttet bensinstasjoner på fire av våre fem avdelinger. (Harstad, Kongsvik, Lakselv, Saltdal og Sortland). Vår slogan er: Badass food for badass people! Vi kompromisser ikke på kvalitet og vårt mål er å være best på kunde- og matopplevelser langs vei!",Søk snarest mulig,Bensinstasjonsmedarbeider,Etter avtale,"Fast, deltid 20%","Turnus, kveld og natt, alle dager","Norsk, skandinavisk eller engelsk",1,Kontaktperson for stillingenMonica JohansenButikksjef99644883Kopier telefonnummermonica@hobnorge.noKopier e-postadresse,2776659,Stillingsregistrering,9a8c0c95-8b73-493d-b45f-bdb40b67c444
